starttime	seconds	ctime	dtime	ttime	wait
Sat Sep 24 23:29:07 2022	1664051347	0	765	765	764
Sat Sep 24 23:28:58 2022	1664051338	0	765	765	765
Sat Sep 24 23:29:05 2022	1664051345	0	767	767	766
Sat Sep 24 23:29:02 2022	1664051342	0	767	767	766
Sat Sep 24 23:29:00 2022	1664051340	0	767	767	767
Sat Sep 24 23:29:01 2022	1664051341	0	768	768	765
Sat Sep 24 23:28:57 2022	1664051337	0	768	768	767
Sat Sep 24 23:29:13 2022	1664051353	0	768	768	768
Sat Sep 24 23:29:11 2022	1664051351	0	769	769	768
Sat Sep 24 23:29:07 2022	1664051347	0	769	769	768
Sat Sep 24 23:28:58 2022	1664051338	0	769	769	766
Sat Sep 24 23:29:03 2022	1664051343	0	769	769	766
Sat Sep 24 23:29:13 2022	1664051353	0	770	770	769
Sat Sep 24 23:29:01 2022	1664051341	0	771	771	770
Sat Sep 24 23:28:59 2022	1664051339	0	771	771	770
Sat Sep 24 23:28:59 2022	1664051339	0	771	771	754
Sat Sep 24 23:28:58 2022	1664051338	0	772	772	770
Sat Sep 24 23:29:01 2022	1664051341	0	772	772	771
Sat Sep 24 23:29:00 2022	1664051340	0	772	772	771
Sat Sep 24 23:29:04 2022	1664051344	1	771	772	770
Sat Sep 24 23:29:02 2022	1664051342	0	772	772	772
Sat Sep 24 23:28:56 2022	1664051336	2	771	773	769
Sat Sep 24 23:29:07 2022	1664051347	0	773	773	773
Sat Sep 24 23:29:03 2022	1664051343	0	774	774	771
Sat Sep 24 23:28:57 2022	1664051337	0	774	774	670
Sat Sep 24 23:28:57 2022	1664051337	0	774	775	771
Sat Sep 24 23:29:02 2022	1664051342	0	775	775	774
Sat Sep 24 23:29:07 2022	1664051347	0	775	775	774
Sat Sep 24 23:29:10 2022	1664051350	0	775	775	773
Sat Sep 24 23:29:07 2022	1664051347	0	775	775	774
Sat Sep 24 23:28:58 2022	1664051338	0	776	776	774
Sat Sep 24 23:29:03 2022	1664051343	0	776	776	773
Sat Sep 24 23:28:58 2022	1664051338	0	777	777	777
Sat Sep 24 23:29:01 2022	1664051341	0	778	778	777
Sat Sep 24 23:28:57 2022	1664051337	0	778	778	777
Sat Sep 24 23:28:57 2022	1664051337	0	778	778	776
Sat Sep 24 23:29:07 2022	1664051347	0	778	778	777
Sat Sep 24 23:29:02 2022	1664051342	0	778	778	777
Sat Sep 24 23:29:11 2022	1664051351	2	776	778	775
Sat Sep 24 23:29:13 2022	1664051353	0	779	779	778
Sat Sep 24 23:29:02 2022	1664051342	0	779	779	778
Sat Sep 24 23:29:06 2022	1664051346	0	780	781	780
Sat Sep 24 23:29:13 2022	1664051353	0	782	782	781
Sat Sep 24 23:29:00 2022	1664051340	0	782	782	779
Sat Sep 24 23:28:58 2022	1664051338	0	782	782	767
Sat Sep 24 23:29:07 2022	1664051347	0	783	783	781
Sat Sep 24 23:28:58 2022	1664051338	0	783	783	783
Sat Sep 24 23:29:07 2022	1664051347	0	783	783	773
Sat Sep 24 23:29:04 2022	1664051344	0	784	784	780
Sat Sep 24 23:29:03 2022	1664051343	0	784	784	773
